[DEBUG] 2013-04-02 14:52:14,504 org.jboss.logging <clinit> - Logging Provider: org.jboss.logging.Log4jLoggerProvider
[INFO] 2013-04-02 14:52:15,665 org.hibernate.tool.hbm2ddl.SchemaUpdate execute - HHH000228: Running hbm2ddl schema update
[INFO] 2013-04-02 14:52:15,665 org.hibernate.tool.hbm2ddl.SchemaUpdate execute - HHH000102: Fetching database metadata
[INFO] 2013-04-02 14:52:15,667 org.hibernate.tool.hbm2ddl.SchemaUpdate execute - HHH000396: Updating schema
[INFO] 2013-04-02 14:52:15,677 java.sql.DatabaseMetaData getTableMetadata - HHH000262: Table not found: PERSONS
[INFO] 2013-04-02 14:52:15,680 java.sql.DatabaseMetaData getTableMetadata - HHH000262: Table not found: PERSONS
[INFO] 2013-04-02 14:52:15,684 java.sql.DatabaseMetaData getTableMetadata - HHH000262: Table not found: personSequence
[DEBUG] 2013-04-02 14:52:15,684 org.hibernate.tool.hbm2ddl.SchemaUpdate execute - create table PERSONS (personId bigint not null, dateOfBirth timestamp, firstName varchar(255), lastName varchar(255), primary key (personId))
[DEBUG] 2013-04-02 14:52:15,684 org.hibernate.tool.hbm2ddl.SchemaUpdate execute - create sequence personSequence
[INFO] 2013-04-02 14:52:15,685 org.hibernate.tool.hbm2ddl.SchemaUpdate execute - HHH000232: Schema update complete
[INFO] 2013-04-02 14:52:15,722 org.astrum.common.dao.PersonDAO savePerson - This is in personDAO
[INFO] 2013-04-02 14:52:15,851 org.astrum.common.dao.PersonDAO savePerson - This is in personDAO
[INFO] 2013-04-02 14:52:15,852 org.astrum.common.dao.PersonDAO savePerson - This is in personDAO
[INFO] 2013-04-02 14:52:15,853 org.astrum.common.dao.PersonDAO savePerson - This is in personDAO
[INFO] 2013-04-02 14:52:15,853 org.astrum.common.dao.PersonDAO savePerson - This is in personDAO
[INFO] 2013-04-02 14:52:15,853 org.astrum.common.dao.PersonDAO savePerson - This is in personDAO
[INFO] 2013-04-02 14:52:15,855 org.astrum.common.dao.PersonDAO savePerson - This is in personDAO
[INFO] 2013-04-02 14:52:15,855 org.astrum.common.dao.PersonDAO savePerson - This is in personDAO
[DEBUG] 2013-04-02 14:58:06,227 org.jboss.logging <clinit> - Logging Provider: org.jboss.logging.Log4jLoggerProvider
[DEBUG] 2013-04-02 14:58:06,280 org.hibernate.type.BasicTypeRegistry register - Adding type registration boolean -> org.hibernate.type.BooleanType@1c78e57
[DEBUG] 2013-04-02 14:58:06,281 org.hibernate.type.BasicTypeRegistry register - Adding type registration boolean -> org.hibernate.type.BooleanType@1c78e57
[DEBUG] 2013-04-02 14:58:06,281 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@1c78e57
[DEBUG] 2013-04-02 14:58:06,282 org.hibernate.type.BasicTypeRegistry register - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@15ff48b
